"id","cid","smiles","molecular_weight","new_average_distance"
22843918,45745005,"CC1=CC=C(C=C1)NC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl","330.113505528","0.5181169"
22901928,45824746,"COCCCCNC(=O)C1=NOC(=C1)C2=CC(=CC=C2)Cl","308.092770084","0.5296382"
22906308,45829139,"CS(=O)(=O)NC(=O)CCCC1=NC(=NO1)C2=CC=CC=C2","309.07832696","0.5470159"
22844945,45746489,"CC1=CC=C(C=C1)CNC(=O)C(C)NC(=O)/C=C/C2=CC=C(C=C2)OC","352.17869262799996","0.50195736"
22844966,45746513,"CC1=CC=C(C=C1)CNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC=CC=C4Cl","445.15570468799996","0.54362255"
22766005,45559344,"CCCCC(=O)NCCC1=CC=C(C=C1)N(C)C","248.188863388","0.5233033"
22766011,45559351,"CN(C)C1=CC=C(C=C1)CCNC(=O)C2=CC=NC=C2","269.152812228","0.506566"
22766025,45559371,"CN(C)C1=CC=C(C=C1)CCNC(=O)OCC2=CC=CC=C2","298.168127944","0.522806"
22766032,45559379,"CN(C)C1=CC=C(C=C1)CCNC(=O)CCCC2=CC=CC=C2","310.20451345199996","0.6115616"
22766034,45559381,"CN(C)C1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)N(C)C","311.19976242","0.5668852"
22766113,45559501,"CN(C)C1=CC=C(C=C1)CCNC(=O)NCCCC2=CC=CC=C2","325.215412484","0.5044444"
22766192,45559672,"C1=CC=C(C=C1)/C=C/C(=O)NCC2=CSC=C2","243.071785036","0.51797324"
22766200,45559680,"C1=CC=C2C(=C1)C=C(O2)C(=O)NCC3=CSC=C3","257.051049592","0.51488435"
22906381,45829212,"CS(=O)(=O)NC(=O)CCC1=NC(=NO1)C2=CC=C(C=C2)F","313.053255084","0.5129631"
22909685,45832548,"CCNC(=O)CN(C)C(=O)NCCC1=CC=CC=C1","263.163376912","0.51343435"
22849258,45754063,"C1=CC=C(C=C1)C(=O)NCC2=CC=C(C=C2)C(=O)N","254.105527688","0.5858517"
22849276,45754098,"C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N","330.136827816","0.51944995"
22849291,45754133,"C1=CC=C2C(=C1)C=CC=C2C(=O)NCC3=CC=C(C=C3)C(=O)N","304.121177752","0.5435481"
22850466,45756481,"CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(=O)N","297.11134134","0.50031006"
22913323,45836295,"CN(C)C1=CC=C(C=C1)C(=O)NCC#C","202.110613068","0.5028746"
22852211,45759700,"COC1=CC=CC=C1CC(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)OC","366.15795718399994","0.50285715"
22853412,45762023,"COC(=O)C1=CC(=CC=C1)NC(=O)/C=C/C2=CN(N=C2C3=CN=CC=C3)C4=CC=CC=C4","424.1535405","0.5623925"
22913431,45836405,"CN(C)C1=CC=C(C=C1)C(=O)NCC2CC2","218.141913196","0.5231266"
22913555,45836530,"C1=CC(=CN=C1)CCNC(=O)C2=CC=C(C=C2)F","244.101191256","0.50350183"
22915026,45838025,"CC(C)CSCC(=O)NCCC1=CC=CC=C1","251.134385292","0.5016744"
22915554,45838563,"CC(C)(C)CC(=O)NCCCC1=CC=CC=C1","233.177964356","0.53604215"
22916874,45839892,"CCC1=CC=CC=C1NCC(=O)NCCC2=CC=CC=C2","282.17321332399996","0.51837736"
22858378,45773460,"COC(=O)CCCNC(=O)CCNC(=O)CC1=CC=CC=C1","306.157957184","0.543876"
22777677,45582896,"CCCCC(=O)NC1=CC2=C(C=C1)NC(=O)CC2","246.136827816","0.50108385"
22917090,45840117,"CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=C(C=C3)C(=O)OC","393.16885621599994","0.6036274"
22778982,45585075,"CCCNC(=O)C(=O)NCCCC1=CC=CC=C1","248.15247788","0.5130559"
22919938,45843064,"C1=CC=C(C=C1)CCNC(=O)CCC2=CSC=C2","259.103085164","0.5374732"
22860601,45781790,"CN(C)C1=CC=C(C=C1)C(=O)N[C@H](CC2=CNC3=CC=CC=C32)C(=O)OC","365.17394159599996","0.5196406"
22860602,45781796,"CCCCCC(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)OC","316.17869262799996","0.51310444"
22860610,45781826,"COC(=O)[C@@H](CC1=CNC2=CC=CC=C21)NC(=O)C3=CC4=CC=CC=C4C=C3","372.1473925","0.5437218"
22860804,45782777,"CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)OC(=O)C)C","464.27740361999986","0.5564185"
22922343,45845493,"COC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)CCCCCNC(=O)N","374.19540531200005","0.52005774"
22862377,45784567,"CSCCC(C(=O)NC1=CC=CC=N1)NC(=O)OCC2=CC=CC=C2","359.13036253200005","0.507319"
22862541,45784773,"C1=CC=C(C=C1)/C=C/C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O","334.1317424359999","0.50510657"
22862765,45785079,"CN(C)CCNC(=O)C1=CC2=CC=CC=C2C=C1","242.141913196","0.5142706"
22931550,45854862,"CC1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC3=NC(=CS3)C4=CC(=CC=C4)[N+](=O)[O-]","435.10012502399996","0.5328107"
22867396,45789916,"C1=CC=C(C=C1)COC(=O)NCCC2=CC=C(C=C2)CC(=O)O","313.131408088","0.5336016"
22871446,45794024,"CCOCCCNC(=O)C1=CC=C(C=C1)N(C)C","250.168127944","0.5508797"
22871495,45794074,"CC(C)OCCCNC(=O)CCC1=CC=CC=C1","249.172878976","0.5425505"
