"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
2555526,3012112,"CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C.C[C@](CCO)(CC(=O)O)O","552.3298331159998","0.53097856","0.5173292"
2712713,3184572,"CCN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)N)C3=CC=NC=C3","354.12628019600004","0.4964925","0.522308"
2557067,3014185,"CC1=CC=C(C=C1)CCNC(=O)C2=CC=CC=C2","239.131014164","0.53050405","0.50300676"
2557420,3014728,"CC(=O)NC1=C(C=C(C=C1)C2=CC=CC=C2)O","227.094628656","0.4544915","0.51424766"
2637981,3107571,"CC1=CC=C(C=C1)S(=O)(=O)NCCCCCC(=O)NCCC2=CC=CC=C2","388.182063756","0.56043917","0.5442962"
2640985,3110709,"C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O","317.10519334","0.5032881","0.5297304"
2641465,3111214,"C1=CC=C(C=C1)CCCCNC(=O)CCC2=CC=CC=C2","281.177964356","0.63297296","0.6251952"
2641521,3111270,"CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)NC(=O)C(CC)C3=CC=CC=C3","400.215078136","0.5340489","0.53122175"
2641498,3111247,"CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)F","257.121592352","0.5824595","0.5840756"
2641623,3111372,"C1=CC=C(C=C1)CCCCNC(=O)CCC(=O)O","249.136493468","0.5964057","0.58838564"
2733970,3205902,"CCCCC(=O)NC1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2C)C3=CC=NC=C3","424.1681450080001","0.46887577","0.5130975"
2642073,3111829,"COC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C3=CC=C(C=C3)F","340.12232062400005","0.5789981","0.56946075"
2642088,3111844,"C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)F","326.10667056000005","0.5243828","0.5246652"
2642850,3112653,"CCCCOC1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2","283.15722891200005","0.5326836","0.5644904"
2643525,3113344,"CCCNC(=O)C1=CC=C(C=C1)Br","241.010226104","0.5482921","0.5252547"
2643936,3113760,"CC(=O)NC1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=C(C=C2)NC(=O)C","410.195405312","0.57602817","0.57602817"
2643937,3113761,"CC1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=C(C=C2)C","324.183778008","0.6278143","0.62558854"
2643940,3113764,"C1=CC(=CC=C1NC(=O)CCCCC(=O)NC2=CC=C(C=C2)Br)Br","451.97350201600005","0.5729389","0.56962067"
2643941,3113765,"CC(=O)N(C)C1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=C(C=C2)N(C)C(=O)C","438.22670544","0.5144135","0.5144135"
2643942,3113766,"C1=CC(=CC=C1NC(=O)CCCCC(=O)NC2=CC=C(C=C2)I)I","547.945773816","0.544385","0.5335027"
2644157,3113990,"COCCCNC(=O)C(=O)NCCC1=CC=CC=C1","264.1473925","0.5214134","0.5285714"
2646944,3116889,"C1=CC=C(C=C1)CCNC(=O)CSC2=NC(=NC(=N2)SCC(=O)NCCC3=CC=CC=C3)SCC(=O)NCCC4=CC=CC=C4","660.201102012","0.58582574","0.56034124"
2647265,3117217,"CCCCOC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3","385.1790269760001","0.50093","0.50093"
2648760,3118732,"C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3Cl)Cl)Cl","374.998447044","0.50445616","0.50242716"
2651357,3121363,"COC(=O)C1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=C(C=C2)C(=O)OC","412.16343648799995","0.50040543","0.5001423"
2652808,3122823,"CC(=O)NC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)NC(=O)C","438.22670544","0.60636365","0.60636365"
2653893,3123939,"C1=CC=C(C=C1)NC(=O)NNC(=O)CCCCCCCC(=O)NNC(=O)NC2=CC=CC=C2","454.23285344","0.5840557","0.57917047"
2653894,3123940,"C1=CC=C(C=C1)CCC(=O)NNC(=O)CCCCCCCC(=O)NNC(=O)CCC2=CC=CC=C2","480.273655632","0.57007104","0.5561071"
2653896,3123942,"CC(=O)NC1=CC=C(C=C1)NC(=O)CCCCCCCC(=O)NC2=CC=C(C=C2)NC(=O)C","452.242355504","0.60636365","0.60636365"
2653897,3123943,"CC(=O)N(C)C1=CC=C(C=C1)NC(=O)CCCCCCCC(=O)NC2=CC=C(C=C2)N(C)C(=O)C","480.273655632","0.53756285","0.53756285"
2653898,3123944,"C1=CC(=CC=C1NC(=O)CCCCCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N)S(=O)(=O)N","496.14502661599994","0.513229","0.51079"
2653942,3123988,"CCCCCCNC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC","517.2576712199999","0.48863643","0.5168494"
2653948,3123994,"COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NCC4=CC=CC=C4","523.210721028","0.5132755","0.54544055"
2654934,3124997,"COC(=O)CCCN1C(=O)C2=C3C(=C(C=C2)N4CCOCC4)C=CC=C3C1=O","382.152871804","0.5452588","0.50705314"
2655271,3125336,"C1=CC=C(C=C1)CCNC(=O)C(=O)NCCC2=CC=CC=C2","296.15247788","0.5729877","0.5596158"
2657777,3127899,"C#CCCCCCCCCC(=O)NC1=CC=CC=C1","257.177964356","0.61993283","0.60140145"
2657781,3127903,"CC1=CC=C(C=C1)NC(=O)CCCCCCCCC#C","271.19361442","0.53002584","0.5271687"
2658774,3128907,"COC1=CC=C(C=C1)CCNC(=O)C=CC2=CC=C(C=C2)OC","311.152143532","0.5712502","0.5712502"
2659060,3129201,"C1=CC(=CC=C1NC(=O)CCCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N)S(=O)(=O)N","468.11372648799994","0.513229","0.51079"
2660124,3130297,"C1=CC=C(C=C1)CNC(=O)CCC(=O)NCC2=CC=CC=C2","296.15247788","0.5230263","0.5167763"
2660960,3131141,"C=CCN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)[N+](=O)[O-])C3=CC=NC=C3","396.100459372","0.4616277","0.50408924"
2661290,3131474,"CCCCCCCOC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3","427.2259771680001","0.5000156","0.5000156"
2661750,3131943,"C=CCN1C(=NN=C1SCC(=O)NC2=CC(=CC=C2)Cl)C3=CC=NC=C3","385.076408812","0.48010963","0.5159108"
2661923,3132118,"CC1=CC(=NC(=N1)SCC(=O)NC2=CC=C(C=C2)C(=O)OC)C","331.09906240399994","0.52787805","0.51943815"
2662074,3132275,"CCCCCCCCCCCC(=O)NC1=NC(=CS1)C2=CC=C(C=C2)[N+](=O)[O-]","403.192962788","0.4845667","0.52589816"
2662532,3132733,"CC1=CC=C(C=C1)NC(=O)CCC(=O)NC2=CC=CC=C2","282.136827816","0.5703857","0.5670774"
2663998,3134210,"CCCCCCCCCCCCCC(=O)NC1=NC(=CS1)C2=CC=CC=C2","386.239184708","0.59938824","0.60084474"
2663999,3134211,"CCCCCCCCCCCCCC(=O)NC1=NC(=CS1)C2=CC=C(C=C2)Cl","420.200212356","0.50512207","0.5070519"
